date,rainfall_mm
2025-08-10,0.0
2025-08-11,0.1
2025-08-12,0.0
2025-08-13,2.4
2025-08-14,0.0
2025-08-15,0.0
2025-08-16,0.0
2025-08-17,0.0
2025-08-18,0.0
2025-08-19,0.0
2025-08-20,0.0
2025-08-21,0.0
2025-08-22,0.0
2025-08-23,0.0
2025-08-24,0.0
2025-08-25,0.0
2025-08-26,1.9
2025-08-27,0.0
2025-08-28,20.8
2025-08-29,2.3
2025-08-30,5.8
2025-08-31,1.6
2025-09-01,3.49
2025-09-02,21.67
2025-09-03,7.9
2025-09-04,1.15
2025-09-05,0.0
2025-09-06,0.0
2025-09-07,0.01
2025-09-08,0.0
2025-09-09,1.37
2025-09-10,6.8
2025-09-11,1.13
2025-09-12,6.35
2025-09-13,0.91
2025-09-14,3.1
2025-09-15,0.3
2025-09-16,1.0
2025-09-17,0.55
2025-09-18,0.0
2025-09-19,0.0
2025-09-20,0.0
2025-09-21,0.0
2025-09-22,0.0
2025-09-23,0.01
2025-09-24,0.0
2025-09-25,0.0
2025-09-26,0.11
2025-09-27,0.0
2025-09-28,1.46
2025-09-29,0.0
2025-09-30,0.0
2025-10-01,0.0
2025-10-02,0.0
2025-10-03,0.0
2025-10-04,0.0
2025-10-05,0.0
2025-10-06,0.0
2025-10-07,0.0
2025-10-08,0.0
2025-10-09,0.01
2025-10-10,0.0
2025-10-11,0.0
2025-10-12,0.23
2025-10-13,0.0
2025-10-14,0.0
2025-10-15,0.0
2025-10-16,0.0
2025-10-17,0.0
2025-10-18,0.0
2025-10-19,20.69
2025-10-20,6.13
2025-10-21,0.27
2025-10-22,20.11
2025-10-23,2.33
2025-10-24,0.0
2025-10-25,1.56
2025-10-26,0.69
2025-10-27,0.0
2025-10-28,0.0
2025-10-29,10.33
2025-10-30,1.66
2025-10-31,22.87
2025-11-01,5.51
2025-11-02,0.68
2025-11-03,0.34
2025-11-04,1.75
2025-11-05,2.11
2025-11-06,0.1
2025-11-07,7.03
2025-11-08,0.16
2025-11-09,6.97
2025-11-10,5.55
2025-11-11,2.14
2025-11-12,0.06
2025-11-13,4.87
2025-11-14,4.15
2025-11-15,0.03
2025-11-16,0.0
2025-11-17,0.0
2025-11-18,4.63
2025-11-19,4.5
2025-11-20,0.0
2025-11-21,0.98
2025-11-22,15.65
2025-11-23,2.32
2025-11-24,0.36
2025-11-25,0.0
2025-11-26,1.9
2025-11-27,0.64
2025-11-28,2.46
2025-11-29,1.11
2025-11-30,4.44
2025-12-01,6.44
2025-12-02,8.64
2025-12-03,7.04
2025-12-04,7.2
2025-12-05,12.25
2025-12-06,2.5
2025-12-07,4.61
2025-12-08,10.84
2025-12-09,1.69
2025-12-10,0.06
2025-12-11,0.48
2025-12-12,0.1
2025-12-13,0.04
2025-12-14,0.1
2025-12-15,0.0
2025-12-16,0.13
2025-12-17,8.94
2025-12-18,23.52
2025-12-19,0.1
2025-12-20,1.41
2025-12-21,2.34
2025-12-22,0.0
2025-12-23,0.0
2025-12-24,0.0
2025-12-25,0.0
2025-12-26,0.0
2025-12-27,0.0
2025-12-28,0.0
2025-12-29,0.0
2025-12-30,0.02
2025-12-31,0.22
2026-01-01,0.77
