date,rainfall_mm
2014-12-16,10.86
2014-12-17,0.9
2014-12-18,1.29
2014-12-19,0.0
2014-12-20,0.0
2014-12-21,0.0
2014-12-22,0.0
2014-12-23,1.38
2014-12-24,0.0
2014-12-25,0.0
2014-12-26,11.06
2014-12-27,0.0
2014-12-28,0.0
2014-12-29,0.2
2014-12-30,0.15
2014-12-31,1.4
2015-01-01,2.06
2015-01-02,8.2
2015-01-03,1.73
2015-01-04,0.0
2015-01-05,0.0
2015-01-06,0.78
2015-01-07,6.51
2015-01-08,5.34
2015-01-09,0.23
2015-01-10,0.23
2015-01-11,0.0
2015-01-12,8.4
2015-01-13,4.01
2015-01-14,11.57
2015-01-15,0.07
2015-01-16,0.0
2015-01-17,1.99
2015-01-18,0.0
2015-01-19,0.0
2015-01-20,0.39
2015-01-21,0.0
2015-01-22,0.0
2015-01-23,2.43
2015-01-24,0.0
2015-01-25,0.31
2015-01-26,0.0
2015-01-27,0.36
2015-01-28,0.59
2015-01-29,2.27
2015-01-30,3.06
2015-01-31,0.76
2015-02-01,0.0
2015-02-02,1.08
2015-02-03,0.0
2015-02-04,0.07
2015-02-05,0.0
2015-02-06,0.0
2015-02-07,0.0
2015-02-08,0.0
2015-02-09,0.0
2015-02-10,0.0
2015-02-11,0.0
2015-02-12,0.07
2015-02-13,14.8
2015-02-14,0.17
2015-02-15,0.0
2015-02-16,5.44
2015-02-17,0.0
2015-02-18,0.0
2015-02-19,5.26
2015-02-20,0.83
2015-02-21,0.18
2015-02-22,4.91
2015-02-23,2.03
2015-02-24,1.36
2015-02-25,0.21
2015-02-26,3.4
2015-02-27,0.0
2015-02-28,2.02
2015-03-01,2.57
2015-03-02,0.0
2015-03-03,0.0
2015-03-04,0.0
2015-03-05,0.0
2015-03-06,0.0
2015-03-07,0.0
2015-03-08,0.0
2015-03-09,0.0
2015-03-10,0.0
2015-03-11,0.0
2015-03-12,0.0
2015-03-13,0.0
2015-03-14,0.0
2015-03-15,0.24
2015-03-16,6.16
2015-03-17,0.0
2015-03-18,0.0
2015-03-19,0.0
2015-03-20,0.0
2015-03-21,0.0
2015-03-22,0.0
2015-03-23,1.34
2015-03-24,0.0
2015-03-25,5.92
2015-03-26,1.6
2015-03-27,0.04
2015-03-28,1.68
2015-03-29,1.15
2015-03-30,1.0
2015-03-31,0.09
2015-04-01,1.72
2015-04-02,0.68
2015-04-03,1.64
2015-04-04,0.0
2015-04-05,0.0
2015-04-06,0.0
2015-04-07,0.0
2015-04-08,0.0
2015-04-09,0.0
2015-04-10,0.78
2015-04-11,0.0
2015-04-12,0.09
2015-04-13,0.0
2015-04-14,0.0
2015-04-15,0.0
2015-04-16,0.0
2015-04-17,0.0
2015-04-18,0.0
2015-04-19,0.0
2015-04-20,0.0
2015-04-21,0.0
2015-04-22,0.0
2015-04-23,0.0
2015-04-24,3.4
2015-04-25,2.27
2015-04-26,0.0
2015-04-27,0.0
2015-04-28,0.0
2015-04-29,1.52
2015-04-30,0.0
2015-05-01,0.0
2015-05-02,6.04
2015-05-03,0.0
2015-05-04,6.02
2015-05-05,2.89
2015-05-06,5.37
2015-05-07,0.0
2015-05-08,0.63
2015-05-09,0.0
2015-05-10,0.0
2015-05-11,0.16
2015-05-12,0.0
2015-05-13,0.08
2015-05-14,10.75
2015-05-15,0.0
2015-05-16,0.0
2015-05-17,1.74
2015-05-18,1.2
2015-05-19,2.65
2015-05-20,0.0
2015-05-21,0.0
2015-05-22,0.12
2015-05-23,0.0
2015-05-24,0.0
2015-05-25,0.0
2015-05-26,0.0
2015-05-27,0.0
2015-05-28,0.07
2015-05-29,2.12
2015-05-30,2.69
2015-05-31,0.21
2015-06-01,3.15
2015-06-02,0.0
2015-06-03,0.0
2015-06-04,1.19
2015-06-05,0.0
2015-06-06,0.0
2015-06-07,0.0
2015-06-08,0.0
2015-06-09,0.0
2015-06-10,0.0
2015-06-11,0.14
2015-06-12,1.97
2015-06-13,0.39
2015-06-14,0.0
2015-06-15,0.0
2015-06-16,0.0
2015-06-17,0.0
2015-06-18,0.0
2015-06-19,0.0
2015-06-20,11.76
2015-06-21,1.7
2015-06-22,1.79
2015-06-23,0.0
2015-06-24,0.0
2015-06-25,0.0
2015-06-26,0.0
2015-06-27,0.0
2015-06-28,0.79
2015-06-29,0.0
2015-06-30,0.0
2015-07-01,0.0
2015-07-02,0.0
2015-07-03,0.0
2015-07-04,0.0
2015-07-05,0.54
2015-07-06,0.19
2015-07-07,0.08
2015-07-08,0.0
2015-07-09,0.0
2015-07-10,0.0
2015-07-11,0.55
2015-07-12,4.27
2015-07-13,1.13
2015-07-14,1.36
2015-07-15,0.0
2015-07-16,0.08
2015-07-17,0.0
2015-07-18,0.81
2015-07-19,0.31
2015-07-20,0.0
2015-07-21,0.0
2015-07-22,0.0
2015-07-23,0.62
2015-07-24,35.35
2015-07-25,4.77
2015-07-26,5.42
2015-07-27,0.0
2015-07-28,0.0
2015-07-29,1.33
2015-07-30,0.0
2015-07-31,0.05
2015-08-01,0.0
2015-08-02,0.0
2015-08-03,0.0
2015-08-04,0.0
2015-08-05,0.28
2015-08-06,0.0
2015-08-07,0.0
2015-08-08,0.0
2015-08-09,0.0
2015-08-10,0.32
2015-08-11,0.45
2015-08-12,0.05
2015-08-13,9.71
2015-08-14,0.36
2015-08-15,0.07
2015-08-16,0.0
2015-08-17,0.0
2015-08-18,0.0
2015-08-19,8.34
2015-08-20,0.22
2015-08-21,0.0
2015-08-22,0.0
2015-08-23,3.83
2015-08-24,15.72
2015-08-25,8.83
2015-08-26,15.79
2015-08-27,0.0
2015-08-28,0.0
2015-08-29,2.01
2015-08-30,5.06
2015-08-31,2.31
2015-09-01,0.0
2015-09-02,0.0
2015-09-03,0.0
2015-09-04,0.06
2015-09-05,0.0
2015-09-06,0.0
2015-09-07,0.0
2015-09-08,0.0
2015-09-09,0.0
2015-09-10,0.05
2015-09-11,0.33
2015-09-12,0.0
2015-09-13,13.59
2015-09-14,0.73
2015-09-15,2.74
2015-09-16,12.97
2015-09-17,0.0
2015-09-18,0.0
2015-09-19,0.0
2015-09-20,1.08
2015-09-21,4.87
2015-09-22,5.25
2015-09-23,0.88
2015-09-24,0.0
2015-09-25,0.0
2015-09-26,0.0
2015-09-27,0.0
2015-09-28,0.0
2015-09-29,0.0
2015-09-30,0.0
2015-10-01,0.0
2015-10-02,0.0
2015-10-03,0.0
2015-10-04,1.26
2015-10-05,21.88
2015-10-06,6.75
2015-10-07,0.05
2015-10-08,0.0
2015-10-09,0.0
2015-10-10,0.0
2015-10-11,0.0
2015-10-12,0.0
2015-10-13,0.0
2015-10-14,0.0
2015-10-15,0.0
2015-10-16,0.0
2015-10-17,0.0
2015-10-18,0.0
2015-10-19,0.0
2015-10-20,4.77
2015-10-21,0.39
2015-10-22,0.0
2015-10-23,0.07
2015-10-24,2.54
2015-10-25,0.0
2015-10-26,0.0
2015-10-27,1.39
2015-10-28,0.0
2015-10-29,8.5
2015-10-30,0.42
2015-10-31,0.0
2015-11-01,0.05
2015-11-02,0.0
2015-11-03,2.81
2015-11-04,1.04
2015-11-05,3.53
2015-11-06,3.75
2015-11-07,4.83
2015-11-08,0.12
2015-11-09,0.07
2015-11-10,0.0
2015-11-11,0.0
2015-11-12,1.65
2015-11-13,2.53
2015-11-14,3.26
2015-11-15,0.05
2015-11-16,2.92
2015-11-17,8.77
2015-11-18,1.55
2015-11-19,2.38
2015-11-20,1.08
2015-11-21,0.0
2015-11-22,0.0
2015-11-23,4.92
2015-11-24,0.08
2015-11-25,0.17
2015-11-26,0.1
2015-11-27,0.53
2015-11-28,1.14
2015-11-29,2.67
2015-11-30,2.5
2015-12-01,0.0
2015-12-02,0.0
2015-12-03,3.85
2015-12-04,0.0
2015-12-05,0.12
2015-12-06,0.79
2015-12-07,2.55
2015-12-08,0.0
2015-12-09,0.12
2015-12-10,3.57
2015-12-11,0.0
2015-12-12,1.53
2015-12-13,0.0
2015-12-14,0.73
2015-12-15,4.18
2015-12-16,0.0
2015-12-17,0.68
2015-12-18,0.0
2015-12-19,0.09
2015-12-20,0.12
2015-12-21,2.44
2015-12-22,7.78
2015-12-23,2.3
2015-12-24,1.77
2015-12-25,1.81
2015-12-26,0.34
2015-12-27,0.2
2015-12-28,0.45
2015-12-29,0.0
2015-12-30,11.59
2015-12-31,2.56
2016-01-01,3.87
2016-01-02,7.19
2016-01-03,11.74
2016-01-04,2.82
2016-01-05,0.0
2016-01-06,8.19
2016-01-07,0.29
2016-01-08,6.96
2016-01-09,5.14
2016-01-10,14.6
2016-01-11,0.41
2016-01-12,0.63
2016-01-13,1.69
2016-01-14,0.0
2016-01-15,0.0
2016-01-16,3.62
2016-01-17,0.56
2016-01-18,0.0
2016-01-19,0.0
2016-01-20,0.12
2016-01-21,1.17
2016-01-22,2.44
2016-01-23,1.31
2016-01-24,0.0
2016-01-25,0.0
2016-01-26,8.37
2016-01-27,1.39
2016-01-28,0.09
2016-01-29,4.64
2016-01-30,0.26
2016-01-31,1.0
2016-02-01,0.1
2016-02-02,0.0
2016-02-03,0.0
2016-02-04,0.07
2016-02-05,0.97
2016-02-06,6.75
2016-02-07,6.26
2016-02-08,2.9
2016-02-09,0.2
2016-02-10,0.0
2016-02-11,0.0
2016-02-12,0.54
2016-02-13,3.74
2016-02-14,0.0
2016-02-15,0.0
2016-02-16,0.0
2016-02-17,11.08
2016-02-18,0.0
2016-02-19,0.26
2016-02-20,1.96
2016-02-21,0.33
2016-02-22,0.0
2016-02-23,0.0
2016-02-24,0.0
2016-02-25,0.0
2016-02-26,0.0
2016-02-27,0.0
2016-02-28,0.0
2016-02-29,0.74
2016-03-01,2.06
2016-03-02,2.68
2016-03-03,0.51
2016-03-04,0.0
2016-03-05,0.13
2016-03-06,0.0
2016-03-07,0.0
2016-03-08,12.83
2016-03-09,1.08
2016-03-10,0.0
2016-03-11,0.0
2016-03-12,0.0
2016-03-13,0.0
2016-03-14,0.0
2016-03-15,0.0
2016-03-16,0.0
2016-03-17,0.0
2016-03-18,0.0
2016-03-19,0.0
2016-03-20,0.0
2016-03-21,0.0
2016-03-22,0.0
2016-03-23,0.0
2016-03-24,7.66
2016-03-25,0.0
2016-03-26,2.94
2016-03-27,15.95
2016-03-28,4.86
2016-03-29,4.29
2016-03-30,0.39
2016-03-31,0.0
2016-04-01,0.0
2016-04-02,1.68
2016-04-03,1.35
2016-04-04,0.0
2016-04-05,0.35
2016-04-06,0.12
2016-04-07,4.32
2016-04-08,2.09
2016-04-09,1.85
2016-04-10,4.48
2016-04-11,2.21
2016-04-12,0.0
2016-04-13,1.6
2016-04-14,2.74
2016-04-15,14.67
2016-04-16,0.1
2016-04-17,0.0
2016-04-18,0.0
2016-04-19,0.0
2016-04-20,0.0
2016-04-21,0.0
2016-04-22,6.18
2016-04-23,0.0
2016-04-24,0.0
2016-04-25,1.07
2016-04-26,0.0
2016-04-27,0.75
2016-04-28,1.91
2016-04-29,1.63
2016-04-30,0.0
2016-05-01,0.68
2016-05-02,0.22
2016-05-03,0.0
2016-05-04,0.0
2016-05-05,0.0
2016-05-06,0.0
2016-05-07,0.0
2016-05-08,0.0
2016-05-09,4.35
2016-05-10,15.71
2016-05-11,7.38
2016-05-12,0.0
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,0.0
2016-05-17,1.17
2016-05-18,12.38
2016-05-19,0.0
2016-05-20,0.36
2016-05-21,2.7
2016-05-22,0.6
2016-05-23,0.0
2016-05-24,0.0
2016-05-25,0.0
2016-05-26,0.8
2016-05-27,0.0
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,14.21
2016-06-01,0.0
2016-06-02,0.0
2016-06-03,0.0
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,0.0
2016-06-07,1.43
2016-06-08,0.0
2016-06-09,0.0
2016-06-10,0.0
2016-06-11,0.27
2016-06-12,2.92
2016-06-13,2.09
2016-06-14,4.32
2016-06-15,1.04
2016-06-16,1.32
2016-06-17,0.0
2016-06-18,0.0
2016-06-19,10.45
2016-06-20,2.45
2016-06-21,0.16
2016-06-22,19.34
2016-06-23,0.26
2016-06-24,0.66
2016-06-25,1.59
2016-06-26,0.46
2016-06-27,0.0
2016-06-28,0.45
2016-06-29,1.4
2016-06-30,1.61
2016-07-01,0.0
2016-07-02,2.11
2016-07-03,0.0
2016-07-04,0.0
2016-07-05,0.0
2016-07-06,0.0
2016-07-07,0.0
2016-07-08,0.0
2016-07-09,0.5
2016-07-10,0.13
2016-07-11,0.0
2016-07-12,8.3
2016-07-13,1.02
2016-07-14,0.0
2016-07-15,0.0
2016-07-16,0.0
2016-07-17,0.0
2016-07-18,0.0
2016-07-19,0.0
2016-07-20,0.0
2016-07-21,0.0
2016-07-22,0.0
2016-07-23,0.0
2016-07-24,0.0
2016-07-25,0.0
2016-07-26,1.24
2016-07-27,0.47
2016-07-28,1.96
2016-07-29,0.39
2016-07-30,0.0
2016-07-31,0.0
